model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE-PhaseZ,urban100,img_004.png,x8,x4,55.903727367282784,0.0016025575391704866,0.002374855801463127,0.002709302818402648,0.00037778637488372624
SC-INR,urban100,img_004.png,x8,x4,43.36193888798619,0.006790520358495204,0.011366368271410465,0.01076533179730177,0.002053989563137293
SC-INR-NoSinc,urban100,img_004.png,x8,x4,55.20998545922093,0.001735804168725065,0.0027163850609213114,0.0030205221846699715,0.00042115451651625335
SC-INR-EQ,urban100,img_004.png,x8,x4,42.97203861553533,0.0071022845677594084,0.011909814551472664,0.011868051253259182,0.0019395913695916533
LTE,urban100,img_004.png,x16,x4,36.07788504700616,0.015707452231801387,0.025533096864819527,0.024047384038567543,0.0015467713819816709
LTE-NoCellPhase,urban100,img_004.png,x16,x4,68.385374706878,0.00038083009813765406,0.0007124361000023782,0.0007124388357624412,6.66396736050956e-05
LTE-PhaseZ,urban100,img_004.png,x16,x4,68.41967139875257,0.000379329335344247,0.0007019844488240778,0.0007082376978360116,8.434755727648735e-05
SC-INR,urban100,img_004.png,x16,x4,44.49373400615886,0.005960920087567354,0.010398007929325104,0.010783420875668526,0.0003751130134332925
SC-INR-NoSinc,urban100,img_004.png,x16,x4,67.40375151423318,0.0004263953150347207,0.0007839981699362397,0.0007880903431214392,0.00012681400403380394
SC-INR-EQ,urban100,img_004.png,x16,x4,44.158101151012985,0.006195765077941422,0.011802433989942074,0.011818052269518375,0.0004335709672886878
LTE,urban100,img_004.png,x30,x4,36.06956305406794,0.015722508829622228,0.026582548394799232,0.024903185665607452,0.0011330366833135486
LTE-NoCellPhase,urban100,img_004.png,x30,x4,67.10211095250656,0.0004414631444722869,0.000940963625907898,0.0008674611453898251,3.13872515107505e-05
LTE-PhaseZ,urban100,img_004.png,x30,x4,67.25646831124752,0.00043368718005118065,0.0009266037377528846,0.0008460718672722578,4.249909034115262e-05
SC-INR,urban100,img_004.png,x30,x4,45.73436468105774,0.005167515237949071,0.00944528914988041,0.010048086754977703,0.00022706355957780033
SC-INR-NoSinc,urban100,img_004.png,x30,x4,66.57489850344982,0.0004690888118864368,0.000999672687612474,0.0009172612917609513,6.672171002719551e-05
SC-INR-EQ,urban100,img_004.png,x30,x4,45.43418220755215,0.005349225295310701,0.010572236031293869,0.010553375817835331,0.00037244989653117955
LTE,urban100,img_005.png,x8,x4,38.617891925488195,0.011724798931171504,0.02230260521173477,0.021423237398266792,0.00016484469233546406
LTE-NoCellPhase,urban100,img_005.png,x8,x4,54.766498953972686,0.0018267329070859079,0.0036216152366250753,0.0036724682431668043,7.0802794652991e-05
LTE-PhaseZ,urban100,img_005.png,x8,x4,54.43268886020866,0.0018983031001405658,0.003812140319496393,0.0037895208224654198,8.897692168829963e-05
SC-INR,urban100,img_005.png,x8,x4,43.334886213268376,0.006811702772483508,0.01356444787234068,0.013620279729366302,0.00010891989950323477
SC-INR-NoSinc,urban100,img_005.png,x8,x4,54.66173717135987,0.0018488988036352147,0.0037325716111809015,0.003663341049104929,0.00011814452591352165
SC-INR-EQ,urban100,img_005.png,x8,x4,42.87419870865553,0.007182738650284933,0.014460206963121891,0.014262051321566105,0.00010786208440549672
LTE,urban100,img_005.png,x16,x4,33.11912388682403,0.022082274574241223,0.03803431987762451,0.033026400953531265,0.00027553774998523295
LTE-NoCellPhase,urban100,img_005.png,x16,x4,64.18043124429803,0.0006179857171060766,0.0012054108083248138,0.0011541338171809912,2.4070383005891927e-05
LTE-PhaseZ,urban100,img_005.png,x16,x4,64.09890019493632,0.0006238138176236394,0.0012194724986329675,0.0011680786265060306,3.44482104992494e-05
SC-INR,urban100,img_005.png,x16,x4,41.923271200702246,0.008013761995379669,0.015122042037546635,0.014486223459243774,5.869900996913202e-05
SC-INR-NoSinc,urban100,img_005.png,x16,x4,63.073431414270175,0.0007019859650644238,0.0013823811896145344,0.0012849434278905392,5.59945146960672e-05
SC-INR-EQ,urban100,img_005.png,x16,x4,41.62320494254963,0.008295446234660591,0.015791015699505806,0.0155937559902668,5.897996015846729e-05
LTE,urban100,img_005.png,x30,x4,31.074096869791,0.027944423632739954,0.043925389647483826,0.03857238218188286,0.0005358891794458032
LTE-NoCellPhase,urban100,img_005.png,x30,x4,63.67813041029791,0.000654777096048681,0.0013616461073979735,0.0011944497236981988,1.227952179760905e-05
LTE-PhaseZ,urban100,img_005.png,x30,x4,63.369699788306974,0.0006784455693079562,0.0014282859629020095,0.0012287633726373315,1.562933721288573e-05
SC-INR,urban100,img_005.png,x30,x4,43.19609760377298,0.006921418665504398,0.012263622134923935,0.011671449989080429,7.851432746974751e-05
SC-INR-NoSinc,urban100,img_005.png,x30,x4,63.19540148724315,0.0006921973393600058,0.0014549900079146028,0.0012658521300181746,2.1396492229541764e-05
SC-INR-EQ,urban100,img_005.png,x30,x4,43.52585363219279,0.006663575433100077,0.012088136747479439,0.012072361074388027,8.941272972151637e-05
