seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
3,SC-INR,Set14,x4,10,27.97671255,28.66040000,0.68368745
3,SC-INR,Set14,x6,10,26.18706738,26.48930000,0.30223262
3,SC-INR,Set14,x8,10,25.05712074,24.97730000,0.07982074
3,SC-INR,Set5,x12,5,24.65118335,24.65120000,0.00001665
3,SC-INR,Set5,x16,5,23.05687958,23.05690000,0.00002042
3,SC-INR,Set5,x2,5,38.02259367,38.02260000,0.00000633
3,SC-INR,Set5,x24,5,21.42582538,21.42580000,0.00002538
3,SC-INR,Set5,x3,5,34.49788866,34.49790000,0.00001134
3,SC-INR,Set5,x30,5,20.61478245,20.61480000,0.00001755
3,SC-INR,Set5,x4,5,32.26406726,32.26410000,0.00003274
3,SC-INR,Set5,x6,5,28.95972457,28.95970000,0.00002457
3,SC-INR,Set5,x8,5,27.05346129,27.05350000,0.00003871
3,SC-INR,Urban100,x12,10,21.24416155,20.95800000,0.28616155
3,SC-INR,Urban100,x16,10,20.37205539,20.02280000,0.34925539
3,SC-INR,Urban100,x2,10,33.11551574,32.19680000,0.91871574
3,SC-INR,Urban100,x24,10,19.15762650,18.88500000,0.27262650
3,SC-INR,Urban100,x3,10,28.85420246,28.25560000,0.59860246
3,SC-INR,Urban100,x30,10,18.65613842,18.33710000,0.31903842
3,SC-INR,Urban100,x4,10,26.63114386,26.19650000,0.43464386
3,SC-INR,Urban100,x6,10,24.13608944,23.83440000,0.30168944
3,SC-INR,Urban100,x8,10,22.79344910,22.51660000,0.27684910
