baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LTE,2,BSD100,108070.png,ID,3,-0.02152166,-0.02868502,0.00000000
LTE,2,BSD100,108070.png,OOD,6,0.01438699,0.00987536,0.66666667
LTE,2,BSD100,108082.png,ID,3,-0.02450158,-0.02019306,0.00000000
LTE,2,BSD100,108082.png,OOD,6,0.08392013,0.08341842,1.00000000
LTE,2,BSD100,109053.png,ID,3,-0.00670901,-0.00615746,0.00000000
LTE,2,BSD100,109053.png,OOD,6,0.03055350,0.03480743,0.83333333
LTE,2,Set14,baboon.png,ID,3,-0.02976881,-0.03800326,0.00000000
LTE,2,Set14,baboon.png,OOD,6,0.00311374,0.00087838,0.50000000
LTE,2,Set14,barbara.png,ID,3,0.25852697,0.40948940,0.66666667
LTE,2,Set14,barbara.png,OOD,6,0.02937922,0.03220168,0.66666667
LTE,2,Set14,bridge.png,ID,3,-0.02239206,-0.02301725,0.00000000
LTE,2,Set14,bridge.png,OOD,6,0.01520533,0.02889200,0.66666667
LTE,2,Set14,coastguard.png,ID,3,-0.03948146,-0.01520224,0.33333333
LTE,2,Set14,coastguard.png,OOD,6,-0.00861692,-0.00865208,0.33333333
LTE,2,Set14,comic.png,ID,3,-0.04246493,-0.04206856,0.00000000
LTE,2,Set14,comic.png,OOD,6,0.01456289,0.01873742,0.50000000
LTE,2,Set14,face.png,ID,3,-0.01426784,-0.02522260,0.33333333
LTE,2,Set14,face.png,OOD,6,0.01548865,0.01838117,0.83333333
LTE,2,Set14,flowers.png,ID,3,-0.06821453,-0.03278776,0.00000000
LTE,2,Set14,flowers.png,OOD,6,0.03589295,0.03799847,0.83333333
LTE,2,Set14,foreman.png,ID,3,-0.08284331,-0.11865212,0.33333333
LTE,2,Set14,foreman.png,OOD,6,0.01091453,0.09684050,0.66666667
LTE,2,Set14,lenna.png,ID,3,-0.07094782,-0.06350731,0.00000000
LTE,2,Set14,lenna.png,OOD,6,-0.04964096,-0.07821529,0.33333333
LTE,2,Set14,man.png,ID,3,-0.02034180,-0.02013408,0.00000000
LTE,2,Set14,man.png,OOD,6,0.02458856,0.00831165,0.83333333
LTE,2,Set5,baby.png,ID,3,-0.02606852,-0.02620298,0.00000000
LTE,2,Set5,baby.png,OOD,6,0.05828876,0.06042371,0.83333333
LTE,2,Set5,bird.png,ID,3,-0.09871947,-0.09770094,0.00000000
LTE,2,Set5,bird.png,OOD,6,-0.01386182,-0.03081469,0.50000000
LTE,2,Set5,butterfly.png,ID,3,-0.08677968,-0.08803877,0.33333333
LTE,2,Set5,butterfly.png,OOD,6,-0.05619607,-0.02906350,0.16666667
LTE,2,Set5,head.png,ID,3,-0.02854671,-0.02839561,0.00000000
LTE,2,Set5,head.png,OOD,6,0.02218195,0.02961632,0.66666667
LTE,2,Set5,woman.png,ID,3,-0.10330466,-0.11436205,0.00000000
LTE,2,Set5,woman.png,OOD,6,-0.01485936,-0.04779053,0.33333333
LTE,2,Urban100,img_001.png,ID,3,-0.20531077,-0.19698473,0.00000000
LTE,2,Urban100,img_001.png,OOD,6,0.01730174,0.03625090,0.66666667
LTE,2,Urban100,img_002.png,ID,3,-0.16400817,-0.15171668,0.00000000
LTE,2,Urban100,img_002.png,OOD,6,0.13103807,0.10701963,1.00000000
LTE,2,Urban100,img_003.png,ID,3,-0.12197614,-0.12361909,0.00000000
LTE,2,Urban100,img_003.png,OOD,6,-0.01953691,-0.00622073,0.16666667
LTE,2,Urban100,img_004.png,ID,3,-1.08380574,-1.11482621,0.00000000
