model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
LIIF-EQ,bsd100,108082.png,x4,27.50996682845529,0.844606157117467,0.042121289536945244,0.07260023802518845,0.07720194011926651,0.0033116417471319437,0.11821382492780685,1.4595955517378396e-08,2.691545948503539e-08,4.164744426774314e-09
LTE,bsd100,108082.png,x4,27.508925407178197,0.8435563121392239,0.04212634010042233,0.07255660742521286,0.0771074891090393,0.0033340107183903456,0.11810743063688278,1.508550600433675e-08,2.6834320304957672e-08,4.154595377203759e-09
LTE-EQ,bsd100,108082.png,x4,27.49685745319581,0.8433134551064051,0.042184910043494284,0.07270390540361404,0.07729587703943253,0.0033173328265547752,0.11816465854644775,1.494796727376661e-08,2.6967495873041277e-08,4.156920382543803e-09
LTE-NoCell,bsd100,108082.png,x4,27.453269220914308,0.8422579954377692,0.04239713782706103,0.07303314656019211,0.07788302004337311,0.0033564658369868994,0.11865293979644775,1.4567839930042618e-08,2.737665049604085e-08,4.189865085369745e-09
LTE-FeaturePhase,bsd100,108082.png,x4,27.497422008242822,0.8433215384890921,0.04218216824836337,0.07271897047758102,0.07741092890501022,0.003347744233906269,0.11831962317228317,1.4540451225176506e-08,2.7011825972021693e-08,4.178573557668342e-09
SC-INR-Fixed,bsd100,108082.png,x4,27.494014768136346,0.8432889795339593,0.042198718420514515,0.07266359776258469,0.07722611725330353,0.0033357935026288033,0.11823349446058273,1.55195538366477e-08,2.6859227122891718e-08,4.159358139012366e-09
SC-INR-Adaptive,bsd100,108082.png,x4,27.55757024372307,0.8441528443155553,0.041891073315415174,0.07197358459234238,0.07657584547996521,0.0033293741289526224,0.11799515038728714,1.428804382159694e-08,2.658516436314275e-08,4.155272497331039e-09
Bicubic,bsd100,108082.png,x8,23.243117980340212,0.6088838335306413,0.06884051346757497,0.11189774423837662,0.12996014952659607,0.008317598141729832,0.12381531298160553,2.743934181411408e-07,3.640575219247617e-08,4.4569752167148835e-09
LIIF,bsd100,108082.png,x8,24.00959654802864,0.6766614259376544,0.0630260620365142,0.10639140754938126,0.11872413009405136,0.005434457678347826,0.12359733134508133,1.9874615455829048e-07,3.613948570013824e-08,4.458194041758244e-09
LIIF-EQ,bsd100,108082.png,x8,23.982057038283237,0.6763572323071022,0.06322620979930942,0.10695117712020874,0.11903300136327744,0.0054400465451180935,0.12364719063043594,2.0084160098893976e-07,3.622723966175064e-08,4.463550409397936e-09
LTE,bsd100,108082.png,x8,24.006088141201545,0.6750135717131494,0.06305152468216162,0.106559157371521,0.11851914972066879,0.005354657303541899,0.12354566901922226,1.9910288132150877e-07,3.612944645506462e-08,4.459284996931198e-09
LTE-EQ,bsd100,108082.png,x8,23.994718291454326,0.6735972764258601,0.06313411331724857,0.10650333017110825,0.11874818056821823,0.005359563510864973,0.12356835603713989,1.9979838555193e-07,3.620909875732399e-08,4.458697703163442e-09
LTE-NoCell,bsd100,108082.png,x8,24.04918996607766,0.6748314489677563,0.0627394203161961,0.10536683350801468,0.1179388016462326,0.005451985169202089,0.12354198843240738,1.9518875623206543e-07,3.612823766887521e-08,4.457673853239841e-09
LTE-FeaturePhase,bsd100,108082.png,x8,24.054725828046685,0.6752951782242574,0.06269944673496403,0.10538101941347122,0.11788345873355865,0.005466850474476814,0.12348363548517227,1.9527834561172684e-07,3.5996587384950394e-08,4.4568365025578036e-09
SC-INR-Fixed,bsd100,108082.png,x8,24.023553881180668,0.6762150625968325,0.0629248669504802,0.10636793076992035,0.11824315786361694,0.005325207021087408,0.1235230565071106,1.9788231135821432e-07,3.6042632593637915e-08,4.4601442864920905e-09
SC-INR-Adaptive,bsd100,108082.png,x8,24.040775799512907,0.675396885603391,0.06280022648920269,0.10585449635982513,0.1181037649512291,0.005340398754924536,0.1235308051109314,1.9621200068960858e-07,3.60672052068268e-08,4.45912462805801e-09
Bicubic,bsd100,108082.png,x16,20.937943521823495,0.4423349405168184,0.08976412956147506,0.13580670952796936,0.1623118370771408,0.02433590404689312,0.1262913942337036,6.528383148081899e-07,4.201318419672441e-08,5.009267901200869e-09
LIIF,bsd100,108082.png,x16,21.362696113645747,0.4951127115974466,0.0854801340036018,0.13597485423088074,0.1581445336341858,0.01421025488525629,0.1263093203306198,5.706575372123258e-07,4.199425561069293e-08,5.008273239135867e-09
LIIF-EQ,bsd100,108082.png,x16,21.371100987119235,0.49632529500872724,0.08539745943023937,0.13615736365318298,0.15807253122329712,0.014028686098754406,0.12635591626167297,5.685878054447898e-07,4.2107237137545525e-08,5.0105367195281996e-09
LTE,bsd100,108082.png,x16,21.419364604322446,0.4983725901862966,0.0849242597094225,0.13578534126281738,0.15779554843902588,0.012872706167399883,0.1262805312871933,5.601431727750236e-07,4.202793326006932e-08,5.006448245581366e-09
LTE-EQ,bsd100,108082.png,x16,21.45154655692255,0.49556406386824076,0.08461019036119423,0.13439933955669403,0.1563856601715088,0.014580036513507366,0.12629134953022003,5.54229356782681e-07,4.203819830525579e-08,5.010253970988874e-09
LTE-NoCell,bsd100,108082.png,x16,21.43987238073783,0.49843408152768687,0.0847239862299196,0.1347694844007492,0.15712840855121613,0.01452071126550436,0.12627927958965302,5.564170145506583e-07,4.2021724822187647e-08,5.009939002761303e-09
LTE-FeaturePhase,bsd100,108082.png,x16,21.414321305501996,0.49887354690313274,0.08497358370528944,0.1351127177476883,0.15762078762054443,0.014419584535062313,0.1262769252061844,5.610208753160408e-07,4.203286403514735e-08,5.0086035354006325e-09
SC-INR-Fixed,bsd100,108082.png,x16,21.28798293911563,0.4958981237400843,0.08621857745822871,0.13776710629463196,0.16015951335430145,0.014053599908947945,0.12633563578128815,5.841713632314215e-07,4.207064954465319e-08,5.013054785181025e-09
SC-INR-Adaptive,bsd100,108082.png,x16,21.49030626056209,0.5006611529966001,0.08423346905724426,0.13427218794822693,0.15626949071884155,0.013959555886685848,0.12625490128993988,5.47653869115996e-07,4.195696608566281e-08,5.006309402260755e-09
