model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
SC-INR-Fixed,bsd100,108005.png,x16,x4,51.07461601158559,0.0027942753488942023,0.0045037949457764626,0.00426075141876936,0.0011664064368233085
SC-INR-Adaptive,bsd100,108005.png,x16,x4,53.17514671238236,0.0021940305192874932,0.003880103351548314,0.003910059109330177,0.0005863018450327218
LIIF,bsd100,108005.png,x30,x4,44.597579264543384,0.005890077874624088,0.008985182270407677,0.008949358016252518,0.0035861635114997625
LIIF-EQ,bsd100,108005.png,x30,x4,42.59839099763908,0.007414475767335836,0.01058474462479353,0.010563951916992664,0.0038987614680081606
LTE,bsd100,108005.png,x30,x4,37.39150748142033,0.013502824589587983,0.018098965287208557,0.01676510088145733,0.008682841435074806
LTE-EQ,bsd100,108005.png,x30,x4,40.3264168972491,0.00963117236109617,0.014212118461728096,0.013460137881338596,0.0053762164898216724
LTE-NoCell,bsd100,108005.png,x30,x4,69.683873149424,0.00032794902383431843,0.0006229209830053151,0.0005696990410797298,0.00010731817019404843
LTE-FeaturePhase,bsd100,108005.png,x30,x4,70.0009146908806,0.0003161944665580374,0.0005907990271225572,0.0005232280818745494,0.00011328292748657987
SC-INR-Fixed,bsd100,108005.png,x30,x4,48.71008777799247,0.00366855987043928,0.004492519423365593,0.004721945617347956,0.0029062312096357346
SC-INR-Adaptive,bsd100,108005.png,x30,x4,52.06223035268776,0.0024939542500303238,0.003631695406511426,0.00413769856095314,0.0011305294465273619
LIIF,bsd100,108070.png,x8,x4,51.00752774528492,0.0028159413992208115,0.0048321387730538845,0.004803623538464308,0.0012179584009572864
LIIF-EQ,bsd100,108070.png,x8,x4,49.26296342447291,0.0034423246657756556,0.006043323781341314,0.0058328453451395035,0.0012307725846767426
LTE,bsd100,108070.png,x8,x4,47.128597395992884,0.0044011901284801746,0.006531891878694296,0.006276455242186785,0.001888409722596407
LTE-EQ,bsd100,108070.png,x8,x4,48.966252453631405,0.0035619463785504647,0.0052810655906796455,0.005091650877147913,0.00174380571115762
LTE-NoCell,bsd100,108070.png,x8,x4,65.10571690141668,0.0005555384911452077,0.000973992224317044,0.0010061294306069613,0.00013779323489870876
LTE-FeaturePhase,bsd100,108070.png,x8,x4,65.2008733362664,0.000549485622194529,0.0009679871145635843,0.0009978673188015819,0.00014346401439979672
SC-INR-Fixed,bsd100,108070.png,x8,x4,52.36572819644351,0.0024083166609962423,0.003923194948583841,0.003801343496888876,0.0007707365439273417
SC-INR-Adaptive,bsd100,108070.png,x8,x4,56.159400204563106,0.0015560730809681376,0.002791920443996787,0.00276624271646142,0.00047222524881362915
LIIF,bsd100,108070.png,x16,x4,50.10177268009937,0.003125441439004489,0.005322583485394716,0.00531760323792696,0.00142682995647192
LIIF-EQ,bsd100,108070.png,x16,x4,49.40802673102851,0.0033853117097615492,0.006145847495645285,0.006020389497280121,0.0010303255403414369
LTE,bsd100,108070.png,x16,x4,44.610408874619296,0.005881384277981904,0.009089650586247444,0.008953598327934742,0.0025256373919546604
LTE-EQ,bsd100,108070.png,x16,x4,47.36958917496496,0.004280756662217194,0.006071627140045166,0.006094112992286682,0.002344542881473899
LTE-NoCell,bsd100,108070.png,x16,x4,76.96684826141748,0.00014179391276903996,0.000244301394559443,0.00025008933153003454,5.061269621364772e-05
LTE-FeaturePhase,bsd100,108070.png,x16,x4,77.79869522795603,0.00012884430837693185,0.00022435889695771039,0.0002231427060905844,4.9616814067121595e-05
SC-INR-Fixed,bsd100,108070.png,x16,x4,52.52448767241593,0.0023646976315080635,0.003607083112001419,0.003452820936217904,0.001055180444382131
SC-INR-Adaptive,bsd100,108070.png,x16,x4,55.689158013999986,0.001642638884805048,0.002935118041932583,0.0029217624105513096,0.0004978313809260726
LIIF,bsd100,108070.png,x30,x4,45.743276113048935,0.00516221625906009,0.00753214955329895,0.007351547945290804,0.0027581644244492054
LIIF-EQ,bsd100,108070.png,x30,x4,42.83691199501138,0.007213638926840475,0.011310751549899578,0.011374539695680141,0.004232218023389578
LTE,bsd100,108070.png,x30,x4,39.110561340503814,0.011078269678443569,0.012794380076229572,0.013864077627658844,0.006130258087068796
LTE-EQ,bsd100,108070.png,x30,x4,41.51608257793764,0.008398386766590979,0.012022682465612888,0.012591181322932243,0.0042684124782681465
LTE-NoCell,bsd100,108070.png,x30,x4,69.78612907194558,0.00032411083253505935,0.000609785143751651,0.0005496583180502057,8.897371299099177e-05
LTE-FeaturePhase,bsd100,108070.png,x30,x4,69.90636111782607,0.00031965532540802075,0.000594408658798784,0.0005208763177506626,9.216003672918305e-05
SC-INR-Fixed,bsd100,108070.png,x30,x4,49.600029994116355,0.0033112997802249053,0.004392305389046669,0.0043507590889930725,0.001934541156515479
